Aihea	Aiheā
Aiatatau	Aiātatau
Aoga	Aogā
Faigaluega	Faigāluega
Fakaha	Fakahā
Fakahataulo	Fakahātaulo
Fakahetonu	Fakahētonu
Fakalaina	Fakalāina
Fakamama	Fakamamā
Fakamafanafana	Fakamāfanafana
Fakamagalo	Fakamāgalo
Fakamakeke	Fakamākeke
Fakamalamalama	Fakamālamalama
Fakamalamalamaga	Fakamālamalamaga
Fakamalohi	Fakamālohi
Fakamalohiga	Fakamālohiga
Fakamaoni	Fakamāoni
Fakamaopoopo	Fakamāopoopo
Fakamaumau	Fakamāumau
Fakamavae	Fakamāvae
Fakapagota	Fakapagotā
Fakapaku	Fakapakū
Fakataugagia	Fakataugāgia
Fakatu	Fakatū
Fakatokilalo	Fakatōkilalo
Fakatokilaloga	Fakatōkilaloga
Fakatulaga	Fakatūlaga
Fakatutumu	Fakatūtumu
Fetu	Fetū
Foaki	Fōaki
Fafifia	Fāfifia
Faleha	Fāleha
Faleka	Fāleka
Fanau	Fānau
Fetutuli	Fētutuli
Hafile	Hafilē
Haika	Haikā
Halamo	Halamō
Hehe	Hehē
Hia	Hiā
Ha	Hā
Heai	Hēai
Huia	Hūia
Haloa	Hāloa
Hunako	Hūnako
Hinapi	Hīnapi
Hapati	Hāpati
Hopato	Hōpato
Hatani	Hātani
Hauni	Hāuni
Itu	Itū
Iailo	Iāilo
Ietahi	Iētahi
Kalapo	Kalapō
matou	mātou
tatou	tātou
Koga	Kogā
Kute	Kutē
Kaha	Kāha
Kohama	Kōhama
Kamata	Kāmata
Kopana	Kōpana
Katoa	Kātoa
Katoatoa	Kātoatoa
Kovana	Kōvana
Leoleomamoe	Leoleomāmoe
Lipue	Lipuē
Lafoga	Lāfoga
Lekeona	Lēkeona
Lapi	Lāpi
Laponi	Lāponi
Latou	Lātou
Lauga	Lāuga
Maleleele	Maleleēle
Matafenua	Matāfenua
Meatotino	Meatōtino
Mafaufau	Māfaufau
Mafine	Māfine
Mafuaaga	Māfuaaga
Mahima	Māhima
Mahina	Māhina
Maketi	Māketi
Malamalama	Mālamalama
Molia	Mōlia
Moliaga	Mōliaga
Moliga	Mōliga
Malumalu	Mālumalu
Mamoe	Māmoe
Matataku	Mātataku
Mitiana	Mītiana
Metoi	Mētoi
Matou	Mātou
Nofoaliki	Nofoāliki
matou	mātou
Pakuku	Pakukū
Peleke	Pelekē
Popolega	Popōlega
Puapuaga	Puapuagā
Pa-Iehu	Pā-Iehu
Pahapa	Pāhapa
Pulea	Pūlea
Penina	Pēnina
Talitane	Talitāne
Tamaloa	Tamāloa
Tautuana	Tautuanā
Tautoga	Tautōga
Tiakono	Tiākono
Tiapolo	Tiāpolo
Toetutu	Toetutū
Toetu	Toetū
Toloata	Tolōata
Tuhitakai	Tuhitākai
Tutu	Tutū
Tu	Tū
Tefea	Tēfea
Tuhia	Tūhia
Teia	Tēia
Talaki	Tālaki
Talakiga	Tālakiga
Talako	Tālako
Talita	Tālita
Talofa	Tālofa
Tamatega	Tāmatega
Tumau	Tūmau
Temoni	Tēmoni
Tane	Tāne
Tenei	Tēnei
Tanoa	Tānoa
Taofi	Tāofi
Tapenapenaga	Tāpenapenaga
Tapuakiga	Tāpuakiga
Tatou	Tātou
Tauaho	Tāuaho
Tovine	Tōvine
Vaegakau	Vaegākau
Vaega	Vāega
Vagana	Vāgana
Vehea	Vēhea
Valoaga	Vāloaga
Vavega	Vāvega
latou	lātou
matou	mātou
tatou	tātou
afiafipo	afiafipō
alagakupu	alagākupu
aoga	aogā
faigata	faigatā
faigofie	faigōfie
fakahea	fakaheā
fakamalu	fakamalū
fakamautu	fakamautū
fakamagalo	fakamāgalo
fakamalohi	fakamālohi
fakapulou	fakapūlou
fakatu	fakatū
fakatokilalo	fakatōkilalo
fakatulaga	fakatūlaga
fakauo	fakauō
fetu	fetū
fuamoa	fuāmoa
fafia	fāfia
fagota	fāgota
foliga	fōliga
famai	fāmai
fanau	fānau
faomea	fāomea
gaio	gāio
gaoioiga	gāoioiga
gatai	gātai
gauta	gāuta
ha	hā
matou	mātou
halamo	halamō
hehe	hehē
hia	hiā
huo	huō
huahuhu	huāhuhu
ha	hā
ho	hō
heai	hēai
heleka	hēleka
haloa	hāloa
hunako	hūnako
hataulo	hātaulo
hauni	hāuni
hauniga	hāuniga
hevae	hēvae
itu	itū
ituaho	itūaho
itulagi	itūlagi
itutino	itūtino
ie	iē
ieia	iēia
ienei	iēnei
ietahi	iētahi
kaitalafu	kaitālafu
katigu	katigū
kautu	kautū
kauafua	kauāfua
latou	lātou
matou	mātou
tatou	tātou
kina	kinā
kogafenua	kogāfenua
kamata	kāmata
kamataga	kāmataga
kamuta	kāmuta
katoa	kātoa
katoaga	kātoaga
katoatoa	kātoatoa
kauga	kāuga
laulaututu	laulaututū
lafoga	lāfoga
lapihi	lāpihi
latou	lātou
lauga	lāuga
magagu	magagū
matua	matuā
matafaga	matāfaga
matakupu	matākupu
meafale	meāfale
muamualima	muamuālima
muaulu	muāulu
mafaufau	māfaufau
mafiafia	māfiafia
mafutaga	māfutaga
mahiahi	māhiahi
mahima	māhima
mailei	māilei
muimui	mūimui
malamalama	mālamalama
malamalamaga	mālamalamaga
maliliega	māliliega
malumalu	mālumalu
mamoe	māmoe
manaia	mānaia
manavaga	mānavaga
matou	mātou
matua	matuā
mavaega	māvaega
nofoaliki	nofoāliki
numela	nūmela
latou	lātou
matou	mātou
tatou	tātou
ogaumu	ogāumu
ohitaulaga	ohitāulaga
paie	paiē
pake	pakē
pogaivi	pogāivi
poutu	poutū
puapuaga	puapuagā
pukamata	pukāmata
pa	pā
po	pō
pahehe	pāhehe
pehi	pēhi
pulea	pūlea
pulega	pūlega
pouli	pōuli
poulitia	pōulitia
tafato	tafatō
takapia	takāpia
talafatai	talafātai
tamaokaiga	tamaokāiga
tamaloa	tamāloa
tatu	tatū
tautoga	tautōga
teio	teiō
tuhigaigoa	tuhigāigoa
tutu	tutū
tuafale	tuāfale
tuakaukau	tuākaukau
tuakoi	tuākoi
tu	tū
tuhia	tūhia
teia	tēia
tukuga	tūkuga
tulaga	tūlaga
talakiga	tālakiga
tolaulau	tōlaulau
tulua	tūlua
tumau	tūmau
temoni	tēmoni
tenei	tēnei
tanoa	tānoa
taofi	tāofi
tapuaki	tāpuaki
tapuakiga	tāpuakiga
tatou	tātou
totuli	tōtuli
tauaho	tāuaho
teuga	tēuga
tavale	tāvale
uo	uō
vaegakau	vaegākau
vakafaila	vakafailā
ve	vē
vaega	vāega
vagana	vāgana
vehea	vēhea
vakai	vākai
valoaga	vāloaga
vateatea	vāteatea
aeto	āeto
ofaga	ōfaga
afea	āfea
olega	ōlega
oleva	ōleva
alope	ālope
omai	ōmai
omamai	ōmamai
omea	ōmea
amioga	āmioga
omoe	ōmoe
